"seller_id","total_orders","total_revenue","avg_review_score"
"058fd0aa2bfdb2274e05e1ae971dabb6",61,7749.90,4.38
"6fd52c528dcb38be2eea044946b811f8",67,7743.02,3.50
"257e61d3251fb5efb9daadddbc2cf7ca",12,7729.00,4.75
"b410bdd36d5db7a65dcd42b7ead933b8",44,7726.90,4.66
"42bde9fef835393bb8a8849cb6b7f245",35,7703.00,4.20
"3bb548e3cb7f70f28e3f11ee9dce0e59",46,7690.02,3.98
"08633c14ef2db992c11f840f04fad4cd",74,7644.30,4.24
"8648b1e89e9b349e32d3741b30ec737e",95,7641.45,4.04
"4e17c65a516f69d023a2ae78b84f28d6",61,7639.26,4.08
"640e21a7d01df7614a3b4923e990d40c",116,7598.88,4.26
"4aba391bc3b88717ce08eb11e44937b2",29,7595.87,3.90
"6a51fc556dab5f766ced6fbc860bc613",26,7577.67,3.94
"8a432f4e5b471f8da497d7dc517666e2",95,7555.00,4.20
"062ce95fa2ad4dfaedfc79260130565f",55,7521.00,3.97
"0bae85eb84b9fb3bd773911e89288d54",137,7482.21,4.21
"c26a2be5b53b7db6b276280da212a779",13,7482.00,2.72
"bd0389da23d89b726abf911cccc54596",87,7472.16,4.20
"a420f60ff1aa9acc80d0e42959f2b313",67,7443.30,3.93
"512d298ac2a96d1931b6bd30aa21f61d",11,7401.94,4.25
"e0a366315b1b726b6c7832d664c0f530",43,7400.09,4.33
"381c83fdca332ea6afd896da20bf6e4a",46,7355.80,4.39
"aced59e9b31ef866a94f9e7f29d8d418",61,7302.70,4.43
"b347677812ea483b0f528eaf8cbc09b7",21,7288.99,4.52
"febab0275244b9a49a623f0bd613ca2f",109,7272.42,4.26
"e333046ce6517bd8bb510291d44f0130",68,7268.00,4.39
"cee48807215b30a12ca2ca10ffb5f250",39,7212.23,3.70
"d624126b9206f595fb3fbb6ba03b28a8",23,7198.80,4.33
